dt,user_pseudo_id,event_name,category,continent,country,region,medium,source
2023-07-31 12:43:41.000000 UTC,11366037.17,first_visit,desktop,Asia,South Korea,Gyeonggi-do,(none),(direct)
2023-07-31 12:43:41.000000 UTC,11366037.17,session_start,desktop,Asia,South Korea,Gyeonggi-do,(none),(direct)
2023-07-31 12:43:41.000000 UTC,11366037.17,page_view,desktop,Asia,South Korea,Gyeonggi-do,(none),(direct)
2023-07-31 12:44:09.000000 UTC,11366037.17,start_bnt,desktop,Asia,South Korea,Gyeonggi-do,(none),(direct)
2023-07-31 12:44:09.000000 UTC,11366037.17,scroll,desktop,Asia,South Korea,Gyeonggi-do,(none),(direct)
2023-07-31 12:44:09.000000 UTC,11366037.17,page_view,desktop,Asia,South Korea,Gyeonggi-do,(none),(direct)
2023-07-31 12:44:14.000000 UTC,11366037.17,scroll,desktop,Asia,South Korea,Gyeonggi-do,(none),(direct)
2023-07-31 12:44:15.000000 UTC,11366037.17,user_engagement,desktop,Asia,South Korea,Gyeonggi-do,(none),(direct)
2023-07-31 12:44:17.000000 UTC,11366037.17,user_engagement,desktop,Asia,South Korea,Gyeonggi-do,(none),(direct)
2023-07-31 12:44:35.000000 UTC,11366037.17,Q1-1,desktop,Asia,South Korea,Gyeonggi-do,(none),(direct)
2023-07-31 12:44:42.000000 UTC,11366037.17,Q2-2,desktop,Asia,South Korea,Gyeonggi-do,(none),(direct)
2023-07-31 12:44:55.000000 UTC,11366037.17,Q3-1,desktop,Asia,South Korea,Gyeonggi-do,(none),(direct)
2023-07-31 12:45:08.000000 UTC,11366037.17,Q4-2,desktop,Asia,South Korea,Gyeonggi-do,(none),(direct)
2023-07-31 12:45:21.000000 UTC,11366037.17,Q5-2,desktop,Asia,South Korea,Gyeonggi-do,(none),(direct)
2023-07-31 12:45:27.000000 UTC,11366037.17,Q6-1,desktop,Asia,South Korea,Gyeonggi-do,(none),(direct)
2023-07-31 12:45:53.000000 UTC,11366037.17,Q7-2,desktop,Asia,South Korea,Gyeonggi-do,(none),(direct)
2023-07-31 12:46:03.000000 UTC,11366037.17,Q8-2,desktop,Asia,South Korea,Gyeonggi-do,(none),(direct)
2023-07-31 12:46:19.000000 UTC,11366037.17,Q9-2,desktop,Asia,South Korea,Gyeonggi-do,(none),(direct)
2023-07-31 12:46:32.000000 UTC,11366037.17,result_5,desktop,Asia,South Korea,Gyeonggi-do,(none),(direct)
2023-07-31 12:46:32.000000 UTC,11366037.17,Q10-1,desktop,Asia,South Korea,Gyeonggi-do,(none),(direct)
2023-07-31 12:46:32.000000 UTC,11366037.17,page_view,desktop,Asia,South Korea,Gyeonggi-do,(none),(direct)
2023-07-31 12:46:36.000000 UTC,11366037.17,60 % Scroll,desktop,Asia,South Korea,Gyeonggi-do,(none),(direct)
2023-07-31 12:46:36.000000 UTC,11366037.17,90 % Scroll,desktop,Asia,South Korea,Gyeonggi-do,(none),(direct)
2023-07-31 12:46:41.000000 UTC,11366037.17,scroll,desktop,Asia,South Korea,Gyeonggi-do,(none),(direct)
2023-07-31 12:47:07.000000 UTC,11366037.17,user_engagement,desktop,Asia,South Korea,Gyeonggi-do,(none),(direct)
2023-08-02 08:22:25.000000 UTC,15454696.17,first_visit,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:22:25.000000 UTC,15454696.17,session_start,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:22:25.000000 UTC,15454696.17,page_view,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:22:25.000000 UTC,15454696.17,start_bnt,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:22:26.000000 UTC,15454696.17,page_view,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:22:31.000000 UTC,15454696.17,scroll,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:22:37.000000 UTC,15454696.17,Q1-1,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:22:45.000000 UTC,15454696.17,Q2-2,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:22:57.000000 UTC,15454696.17,Q3-2,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:23:09.000000 UTC,15454696.17,Q4-1,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:23:25.000000 UTC,15454696.17,Q5-2,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:23:34.000000 UTC,15454696.17,Q6-2,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:23:34.000000 UTC,15454696.17,Q7-2,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:23:43.000000 UTC,15454696.17,Q8-2,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:23:49.000000 UTC,15454696.17,Q9-1,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:23:51.000000 UTC,15454696.17,Q10-2,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:23:51.000000 UTC,15454696.17,user_engagement,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:23:52.000000 UTC,15454696.17,page_view,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:23:52.000000 UTC,15454696.17,result_3,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:23:57.000000 UTC,15454696.17,scroll,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:24:04.000000 UTC,15454696.17,60 % Scroll,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:24:04.000000 UTC,15454696.17,90 % Scroll,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:24:04.000000 UTC,15454696.17,kakao_share_bnt,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:24:08.000000 UTC,15454696.17,result_share_bnt,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:24:13.000000 UTC,15454696.17,user_engagement,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:24:13.000000 UTC,15454696.17,page_view,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:24:14.000000 UTC,15454696.17,scroll,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:24:15.000000 UTC,15454696.17,page_view,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:24:44.000000 UTC,15454696.17,page_view,mobile,Europe,Netherlands,,(none),(direct)
2023-08-02 08:24:45.000000 UTC,15454696.17,scroll,mobile,Europe,Netherlands,,(none),(direct)
2023-07-30 21:00:00.000000 UTC,49107988.17,first_visit,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 21:00:00.000000 UTC,49107988.17,session_start,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 21:00:00.000000 UTC,49107988.17,page_view,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 21:00:00.000000 UTC,49107988.17,scroll,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 21:00:00.000000 UTC,49107988.17,result_5,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 21:00:03.000000 UTC,49107988.17,60 % Scroll,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 21:00:03.000000 UTC,49107988.17,90 % Scroll,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 21:00:03.000000 UTC,49107988.17,kakao_share_bnt,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 21:00:10.000000 UTC,49107988.17,user_engagement,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 21:00:17.000000 UTC,49107988.17,page_view,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 21:00:21.000000 UTC,49107988.17,page_view,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 21:00:23.000000 UTC,49107988.17,scroll,mobile,Asia,South Korea,,(none),(direct)
2023-08-02 17:01:48.000000 UTC,50398082.17,first_visit,desktop,Asia,South Korea,Seoul,(none),(direct)
2023-08-02 17:01:48.000000 UTC,50398082.17,session_start,desktop,Asia,South Korea,Seoul,(none),(direct)
2023-08-02 17:01:48.000000 UTC,50398082.17,page_view,desktop,Asia,South Korea,Seoul,(none),(direct)
2023-08-02 17:01:54.000000 UTC,50398082.17,scroll,desktop,Asia,South Korea,Seoul,(none),(direct)
2023-08-02 17:31:29.000000 UTC,50398082.17,user_engagement,desktop,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:07:44.000000 UTC,51840293.17,first_visit,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:07:44.000000 UTC,51840293.17,session_start,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:07:44.000000 UTC,51840293.17,page_view,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:07:45.000000 UTC,51840293.17,start_bnt,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:07:45.000000 UTC,51840293.17,scroll,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:07:48.000000 UTC,51840293.17,page_view,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:07:53.000000 UTC,51840293.17,scroll,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:08:15.000000 UTC,51840293.17,Q1-2,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:08:15.000000 UTC,51840293.17,Q2-1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:08:44.000000 UTC,51840293.17,Q3-1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:08:44.000000 UTC,51840293.17,Q4-2,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:08:48.000000 UTC,51840293.17,Q5-2,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:08:59.000000 UTC,51840293.17,Q6-1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:09:05.000000 UTC,51840293.17,Q7-2,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:09:05.000000 UTC,51840293.17,Q8-1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:09:13.000000 UTC,51840293.17,Q9-1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:09:13.000000 UTC,51840293.17,Q10-1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:09:14.000000 UTC,51840293.17,result_1,mobile,Asia,South Korea,Seoul,(none),(direct)
